city,state,price,year,make,model,condition,cylinders,fuel,odometer,title,transmission,drive,size,type,color,lat,long
fargo ,MN,15995,2011,ford,f-150,excellent,8 cylinders,gas,108123,clean,automatic,4wd,full-size,pickup,red,45.832693,-95.389094
sacramento,CA,8200,2013,honda,fit,excellent,4 cylinders,gas,91835,clean,manual,fwd,sub-compact,sedan,grey,38.61076,-121.424376
tyler ,TX,9275,2013,ford,escape,excellent,4 cylinders,gas,105500,clean,automatic,fwd,mid-size,SUV,green,32.241089,-95.402613
roanoke,VA,23998,2012,ford,super duty f-550 drw,excellent,8 cylinders,diesel,230669,clean,automatic,4wd,full-size,pickup,white,37.61438,-77.52101800000001
madison,WI,6495,2007,volvo,c70,excellent,5 cylinders,gas,102373,clean,automatic,fwd,mid-size,convertible,black,43.302071000000005,-88.376508
kansas city,MO,19750,2015,ford,mustang,like new,4 cylinders,gas,35949,clean,automatic,rwd,compact,coupe,black,38.571999999999996,-94.8937
Manchester,NH,8995,2010,infiniti,qx56,excellent,8 cylinders,gas,168177,clean,automatic,4wd,full-size,SUV,black,43.059290000000004,-71.44274
san antonio,TX,24995,2013,ford,mustang gt supercharged,excellent,8 cylinders,gas,35550,clean,manual,rwd,sub-compact,coupe,black,30.3432,-97.738975
kansas city,MO,3195,2006,chevrolet,hhr,good,4 cylinders,gas,122249,clean,other,fwd,full-size,van,blue,38.922003000000004,-94.401135
rochester,NY,16990,2014,jeep,grand cherokee,excellent,6 cylinders,gas,68946,clean,automatic,4wd,mid-size,SUV,silver,43.153953,-75.92874499999999
northern michigan,MI,3750,2004,ford,f150 xlt 4x4 crewcab,good,8 cylinders,gas,182731,clean,automatic,4wd,full-size,pickup,yellow,45.087333,-85.606227
albany,NY,13800,2014,nissan,juke nismo,excellent,4 cylinders,gas,22000,clean,automatic,4wd,compact,SUV,white,40.8662,-73.9221
bend,OR,15500,2010,nissan,titan,excellent,8 cylinders,gas,126000,clean,automatic,4wd,full-size,pickup,silver,44.053757,-121.302076
lexington,KY,5500,2004,chevrolet,k24,good,8 cylinders,gas,211663,clean,automatic,4wd,full-size,truck,white,38.3964,-84.2949
nashville,TN,8800,2015,toyota,prius c,excellent,4 cylinders,gas,105000,clean,automatic,fwd,full-size,sedan,blue,36.235265999999996,-86.389306
merced,CA,15999,2016,honda,civic sedan,excellent,4 cylinders,gas,36158,clean,automatic,fwd,compact,sedan,silver,37.609783,-120.995406
monterey bay,CA,0,2012,honda,fit,excellent,4 cylinders,gas,60881,clean,automatic,fwd,mid-size,hatchback,white,36.98165,-121.96418999999999
fredericksburg,VA,5500,2013,hyundai,accent,excellent,4 cylinders,gas,97487,clean,automatic,fwd,compact,other,white,38.2481,-77.4681
columbia ,MO,10500,2012,chevrolet,k2500hd,good,8 cylinders,gas,198131,clean,automatic,4wd,full-size,pickup,white,39.095572,-93.178816
fairbanks,AK,1300,2000,ford,ranger xlt,salvage,6 cylinders,gas,143681,clean,automatic,4wd,mid-size,truck,red,64.823851,-147.886091
